Study,Author,Biome,Ecosystem_type,Ecosystem_state,Study_midyear,YearsOfData,CO2_method,Rs_annual,LU_AT,LU_AP,LU_MAT,LU_MAP,LU_LAI,LU_NDEP,T_anomaly,P_anomaly
2534,Bond-Lamberty,Boreal,Forest,Natural,2001.5,1.5,IRGA,255,-1.96,477.85,-3.34,502.22,4.7,70.989998,1.38,-24.37
2534,Bond-Lamberty,Boreal,Forest,Natural,2001.5,1.5,IRGA,85,-2.14,445.25,-3.45,490.02,4.5,70.989998,1.31,-44.77
2534,Bond-Lamberty,Boreal,Forest,Natural,2001.5,1.5,IRGA,425,-2.09,471,-3.52,511.15,3.5,70.989998,1.43,-40.15
2534,Bond-Lamberty,Boreal,Forest,Natural,2001.5,1.5,IRGA,551,-2.085,490.25,-3.56,525.56,5,70.989998,1.475,-35.31
2534,Bond-Lamberty,Boreal,Forest,Natural,2001.5,1.5,IRGA,484,-2.085,490.25,-3.56,525.56,4.8,70.989998,1.475,-35.31
2534,Bond-Lamberty,Boreal,Forest,Natural,2001.5,1.5,IRGA,540,-2.09,471,-3.52,511.15,4.8,70.989998,1.43,-40.15
2534,Bond-Lamberty,Boreal,Forest,Natural,2001.5,1.5,IRGA,375,-2.085,490.25,-3.56,525.56,5,70.989998,1.475,-35.31
2534,Bond-Lamberty,Boreal,Forest,Natural,2001.5,1.5,IRGA,137,-1.96,477.85,-3.34,502.22,4.7,70.989998,1.38,-24.37
2534,Bond-Lamberty,Boreal,Forest,Natural,2001.5,1.5,IRGA,513,-2.14,445.25,-3.45,490.02,4.5,70.989998,1.31,-44.77
2534,Bond-Lamberty,Boreal,Forest,Natural,2001.5,1.5,IRGA,337,-2.09,471,-3.52,511.15,3.5,70.989998,1.43,-40.15
2534,Bond-Lamberty,Boreal,Forest,Natural,2001.5,1.5,IRGA,570,-2.085,490.25,-3.56,525.56,5,70.989998,1.475,-35.31
2534,Bond-Lamberty,Boreal,Forest,Natural,2001.5,1.5,IRGA,397,-2.085,490.25,-3.56,525.56,4.8,70.989998,1.475,-35.31
2534,Bond-Lamberty,Boreal,Forest,Natural,2001.5,1.5,IRGA,338,-2.09,471,-3.52,511.15,4.8,70.989998,1.43,-40.15
2534,Bond-Lamberty,Boreal,Forest,Natural,2001.5,1.5,IRGA,375,-2.085,490.25,-3.56,525.56,5,70.989998,1.475,-35.31
2182,Wang,Boreal,Forest,Natural,1999.5,1.5,IRGA,226,-1.76,495.1,-3.34,502.22,4.7,70.989998,1.58,-7.12
2182,Wang,Boreal,Forest,Natural,1999.5,1.5,IRGA,412,-1.86,416.1,-3.45,490.02,4.5,70.989998,1.59,-73.92
2182,Wang,Boreal,Forest,Natural,1999.5,1.5,IRGA,357,-1.505,492.1,-3.52,511.15,3.5,70.989998,2.015,-19.05
2182,Wang,Boreal,Forest,Natural,1999.5,1.5,IRGA,413,-1.735,549.45,-3.56,525.56,5,70.989998,1.825,23.89
2182,Wang,Boreal,Forest,Natural,1999.5,1.5,IRGA,350,-1.735,549.45,-3.56,525.56,4.8,70.989998,1.825,23.89
2182,Wang,Boreal,Forest,Natural,1999.5,1.5,IRGA,274,-1.505,492.1,-3.52,511.15,4.8,70.989998,2.015,-19.05
2182,Wang,Boreal,Forest,Natural,1999.5,1.5,IRGA,244,-1.735,549.45,-3.56,525.56,5,70.989998,1.825,23.89
2182,Wang,Boreal,Forest,Natural,1999.5,1.5,IRGA,146,-1.76,495.1,-3.34,502.22,4.7,70.989998,1.58,-7.12
2182,Wang,Boreal,Forest,Natural,1999.5,1.5,IRGA,380,-1.86,416.1,-3.45,490.02,4.5,70.989998,1.59,-73.92
2182,Wang,Boreal,Forest,Natural,1999.5,1.5,IRGA,300,-1.505,492.1,-3.52,511.15,3.5,70.989998,2.015,-19.05
2182,Wang,Boreal,Forest,Natural,1999.5,1.5,IRGA,303,-1.735,549.45,-3.56,525.56,5,70.989998,1.825,23.89
2182,Wang,Boreal,Forest,Natural,1999.5,1.5,IRGA,256,-1.735,549.45,-3.56,525.56,4.8,70.989998,1.825,23.89
2182,Wang,Boreal,Forest,Natural,1999.5,1.5,IRGA,233,-1.505,492.1,-3.52,511.15,4.8,70.989998,2.015,-19.05
2182,Wang,Boreal,Forest,Natural,1999.5,1.5,IRGA,264,-1.735,549.45,-3.56,525.56,5,70.989998,1.825,23.89
2459,Subke,Temperate,Forest,Natural,1999,4,IRGA,560,7.4475,720.35,6.23,757.11,3.2,1890.569946,1.2175,-36.76
2459,Subke,Temperate,Forest,Natural,1999,4,IRGA,560,7.4475,720.35,6.23,757.11,3.2,1890.569946,1.2175,-36.76
1565,Buchmann,Temperate,Forest,Managed,1997.5,1,IRGA,710,7.075,710.75,6.23,757.11,3.2,1890.569946,0.845,-46.36
1565,Buchmann,Temperate,Forest,Managed,1997.5,1,IRGA,710,7.075,710.75,6.23,757.11,3.2,1890.569946,0.845,-46.36
1565,Buchmann,Temperate,Forest,Managed,1997.5,1,IRGA,710,7.075,710.75,6.23,757.11,3.2,1890.569946,0.845,-46.36
1416,Andrews,Temperate,Forest,Managed,1997,1,Isotope,956,14.21,1034.4,14.33,1083.91,4.2,1312.290039,-0.12,-49.51
1263,Arneth,Temperate,Forest,Managed,1995,3,IRGA,950,10.00666667,549.7666667,10.33,542.33,3,31.6,-0.323333333,7.436666667
1262,Arneth,Temperate,Forest,Managed,1996,1,IRGA,370,10.01,587.4,10.33,542.33,3,31.6,-0.32,45.07
1262,Arneth,Temperate,Forest,Managed,1997,1,IRGA,440,9.8,465.8,10.33,542.33,3,31.6,-0.53,-76.53
3179,Vogel,Boreal,Forest,Natural,2001,1.5,IRGA,296,-1.5525,238.95,-2.71,309.92,3.9,59.119999,1.1575,-70.97
3179,Vogel,Boreal,Forest,Natural,2001,1.5,IRGA,206,-1.5525,238.95,-2.71,309.92,3.9,59.119999,1.1575,-70.97
3179,Vogel,Boreal,Forest,Natural,2001,1.5,IRGA,192,-1.5525,238.95,-2.71,309.92,3.9,59.119999,1.1575,-70.97
1438,Epron,Temperate,Forest,Unmanaged,1997,1,IRGA,660,9.24,830.6,8.45,838.76,3.4,1862.900024,0.79,-8.16
1777,Epron,Temperate,Forest,Unmanaged,1997,1,IRGA,660,9.24,830.6,8.45,838.76,3.4,1862.900024,0.79,-8.16
1009,Trumbore,Tropical,Forest,Natural,1995,1,IRGA,2400,25.7,2362.7,25.17,2098.34,3.9,331.850006,0.53,264.36
